pH_Condition,U_V,Current_mA_cm2
pH=4,-1.3121951219512196,-0.3224206349206353
pH=4,-1.2509485094850947,-0.3170947236919459
pH=4,-1.2348780487804878,-0.3170947236919459
pH=4,-1.2188075880758809,-0.3170947236919459
pH=4,-1.2027371273712737,-0.3170947236919459
pH=4,-1.1866666666666663,-0.3170947236919459
pH=4,-1.1705962059620596,-0.3170947236919459
pH=4,-1.1545257452574529,-0.3170947236919459
pH=4,-1.1384552845528455,-0.3170947236919459
pH=4,-1.1223848238482383,-0.3170947236919459
pH=4,-1.1063143631436314,-0.3170947236919459
pH=4,-1.0969399277326106,-0.3170947236919459
pH=4,-0.9170731707317074,-0.348214285714286
pH=4,-0.7889227642276422,-0.3170947236919459
pH=4,-0.6965176151761518,-0.2321189741328631
pH=4,-0.6041124661246613,-0.1471432245737802
pH=4,-0.4463414634146341,0.0
pH=4,-0.0024390243902436,0.0257936507936507
pH=4,0.1975609756097562,0.0
pH=4,0.2268292682926831,0.0
pH=5,-1.6402439024390243,-13.14186507936508
pH=5,-1.6390243902439026,-12.987103174603174
pH=5,-1.6341463414634148,-11.452380952380953
pH=5,-1.6219512195121952,-9.866071428571429
pH=5,-1.5975609756097562,-7.183531746031747
pH=5,-1.5878048780487806,-5.6875
pH=5,-1.574390243902439,-4.552579365079366
pH=5,-1.5597560975609757,-3.404761904761905
pH=5,-1.5451219512195122,-2.6825396825396832
pH=5,-1.530842366757001,-1.959959215167549
pH=5,-1.5182926829268293,-1.5734126984126986
pH=5,-1.4792682926829268,-0.8253968253968256
pH=5,-1.4439024390243902,-0.5158730158730158
pH=5,-1.4060975609756097,-0.2966269841269842
pH=5,-1.3231707317073171,-0.1031746031746032
pH=5,-1.221951219512195,0.0
pH=5,-0.0024390243902436,0.0128968253968251
pH=5,0.1987804878048784,0.0
pH=5,0.2256097560975614,0.0257936507936507
pH=13,-1.6540492321589884,-12.950156158142269
pH=13,-1.653658536585366,-13.16765873015873
pH=13,-1.651219512195122,-12.432539682539684
pH=13,-1.646014001806685,-11.307291666666666
pH=13,-1.646014001806685,-11.463080540858318
pH=13,-1.6365853658536589,-10.046626984126984
pH=13,-1.6299435411020775,-8.64471818048207
pH=13,-1.6219083107497745,-7.370081937095826
pH=13,-1.6219083107497745,-7.511708186360964
pH=13,-1.6138730803974708,-6.322047692533804
pH=13,-1.605837850045167,-5.486452821869488
pH=13,-1.5897673893405602,-4.282629703115815
pH=13,-1.5817321589882565,-3.730287330981776
pH=13,-1.573696928635953,-3.291245958259847
pH=13,-1.554878048780488,-2.385912698412698
pH=13,-1.5402439024390244,-1.805555555555556
pH=13,-1.5097560975609756,-1.134920634920635
pH=13,-1.475609756097561,-0.7609126984126986
pH=13,-1.4426829268292682,-0.4642857142857144
pH=13,-1.4022786811201446,-0.3170947236919459
pH=13,-1.3390243902439023,-0.1289682539682544
pH=13,-1.247560975609756,-0.0386904761904762
pH=13,-1.1658536585365855,0.0
pH=13,-0.8756097560975609,0.0128968253968251
pH=13,-0.4902439024390244,0.0128968253968251
pH=13,-0.2097560975609755,-0.0128968253968255
pH=13,-0.0646341463414634,0.0257936507936507
pH=13,0.0,0.0128968253968251
pH=13,0.2000000000000001,0.0128968253968251
pH=13,0.2451219512195122,0.0128968253968251
